      T       mu          width     x- y- zdim  
   9.000000      -54.00000       150.000000000000               15          15
          15
      0      3     -150.00000
             0.         93875.             0.
      1      3     -300.00000
             0.             0.        681088.
      2      3     -300.00000
             0.             0.       2505367.
      3      3     -300.00000
             0.             4.       6222892.
      4      3     -300.00000
             0.           635.      11783227.
      5      3     -300.00000
             0.          6461.      16777216.
      6      3     -300.00000
             0.         35913.      16777216.
      7      3     -300.00000
             0.        129203.      16777216.
      8      3     -300.00000
             0.        346311.      16777216.
      9      3     -300.00000
            16.        736544.      16777216.
     10      5     -600.00000
             0.             0.           106.       1275555.      16777216.
     11      5     -600.00000
             0.             0.           393.       1821456.      12894106.
     12      5     -600.00000
             0.             0.           910.       2188728.       8165189.
     13      5     -600.00000
             0.             0.          1774.       2235884.       4568392.
     14      5     -600.00000
             0.             4.          3019.       1962578.       2252662.
     15      5     -600.00000
             0.            13.          3978.       1498205.        974136.
     16      5     -600.00000
             0.            59.          4613.       1011989.        365071.
     17      5     -600.00000
             0.            81.          5020.        615901.        118473.
     18      5     -600.00000
             0.           148.          4871.        339126.         32590.
     19      5     -600.00000
             0.            69.          4504.        172515.          7904.
     20      6     -750.00000
             0.             0.            61.          3647.         82349.          1569.
     21      6     -750.00000
             0.             0.            52.          2809.         37061.           289.
     22      5     -600.00000
             0.            63.          1855.         15416.            68.
     23      5     -600.00000
             0.            41.          1201.          6270.            11.
     24      6     -750.00000
             0.             0.            31.           736.          2351.             0.
     25      6     -750.00000
             0.             0.            28.           429.           759.             0.
     26      6     -750.00000
             0.             0.            12.           230.           250.             0.
     27      4     -450.00000
             6.           144.            82.             0.
     28      4     -600.00000
             0.             7.            48.             0.
     29      4     -600.00000
             0.            10.             6.             0.
     30      3     -600.00000
             0.             3.             0.
